campaign_id,campaign_name,channel_id,campaign_manager,start_date,end_date,budget,campaign_type,target_segment,target_country
1,NewYear Brand Push 2023,10,Mary Rodriguez,2024-08-16,2024-08-29,4730.19,Brand,New,Italy
2,Winter Acquisition Push 2019,3,Mark Harris,2022-11-05,2022-12-19,3920.88,Acquisition,Returning,Netherlands
3,Prospecting Retention Campaign 2024,7,Gloria Keller,2021-03-31,2021-05-28,13280.99,Retention,Returning,United Arab Emirates
4,Flash Awareness Sale 2022,10,Yvette House,2019-01-16,2019-02-02,4998.03,Awareness,Returning,Mexico
5,Winter Awareness Promo 2024,12,,2020-11-13,2021-01-23,807.89,Awareness,VIP,Saudi Arabia
6,Retarget Brand Campaign 2024,13,Anthony Rasmussen,2022-03-30,2022-04-06,13372.62,Brand,Churned,United States
7,Loyalty Retention Drive 2024,2,,2023-12-16,2024-02-22,1299.0,Retention,All,Nigeria
8,Holiday Acquisition Sale 2022,9,Richard White,2022-05-31,2022-08-19,2273.33,Acquisition,Churned,Egypt
9,BlackFriday Awareness Campaign 2019,8,Debra Smith,2024-04-11,2024-06-09,4539.96,Awareness,VIP,Australia
10,Winter Retention Push 2020,11,Elizabeth Hill,2021-05-18,2021-06-08,4814.66,Retention,Returning,United Kingdom
11,BlackFriday Brand Push 2023,4,Isaiah Hall Jr.,2023-11-05,2024-01-12,1409.99,Brand,VIP,Brazil
12,Prospecting Conversion Drive 2024,7,Elizabeth Hill,2020-11-01,2020-12-27,10780.37,Conversion,Churned,United Kingdom
13,NewYear Brand Push 2021,8,Rachel Dickerson,2021-08-09,2021-09-18,5563.09,Brand,Churned,Australia
14,Winter Acquisition Drive 2021,5,Sandra Kim,2021-05-15,2021-06-20,2634.61,Acquisition,Churned,United Arab Emirates
15,NewYear Conversion Promo 2020,15,Anthony Rasmussen,2024-06-23,2024-06-12,3690.73,Conversion,All,Italy
16,Retarget Conversion Promo 2021,5,Samuel Smith,2023-11-06,2024-02-04,4577.75,Conversion,At-Risk,United Arab Emirates
17,holiday acquisition sale 2023,12,David Zuniga,2024-08-06,2024-08-30,4255.91,Acquisition,Returning,France
18,BlackFriday Retention Drive 2020,15,Angela Chandler,2023-06-13,2023-08-21,6172.83,Retention,All,Indonesia
19,Clearance Awareness Campaign 2020,12,Tammy Bell,2021-05-13,2021-07-09,9358.76,Awareness,Returning,Brazil
20,Retarget Conversion Push 2021,11,Yolanda Wallace,2021-03-15,2021-04-12,55679.84,Conversion,New,India
21,Launch Brand Campaign 2020,14,Eric Smith MD,2021-10-20,2021-11-17,7181.12,Brand,New,Nigeria
22,Retarget Awareness Drive 2021,6,Anthony Rasmussen,2021-07-24,2021-08-08,26053.62,Awareness,Churned,Spain
23,BlackFriday Awareness Promo 2022,4,Chase Wolf,2021-05-16,2021-08-12,18248.06,Awareness,Returning,United Kingdom
24,Holiday Brand Promo 2024,7,Elizabeth Hill,2020-06-27,2020-09-11,1231.44,Brand,Churned,France
25,Holiday Brand Promo 2020,5,Alexis Hale,2024-10-02,2024-11-07,12548.37,Brand,VIP,United States
26,Launch Awareness Sale 2019,1,Chase Wolf,2019-04-12,2019-06-08,1064.55,Awareness,At-Risk,Nigeria
27,Launch Conversion Sale 2023,9,Caitlin Edwards,2021-02-01,2021-04-03,2922.88,Conversion,VIP,Australia
28,BlackFriday Conversion Promo 2022,5,Jon Thomas,2019-01-19,2019-02-28,373.05,Conversion,At-Risk,United Kingdom
29,  Holiday Brand Drive 2024  ,14,Donna Nelson,2022-12-21,2023-02-12,5461.28,Brand,All,Canada
30,Loyalty Brand Push 2022,8,Mark Morgan,2024-06-29,2024-09-14,8780.77,Brand,New,United States
31,Holiday Conversion Drive 2024,11,David Zuniga,2024-01-11,2024-02-05,1120.27,Conversion,Churned,Netherlands
32,Retarget Brand Promo 2021,9,Scott Taylor,2019-10-29,2020-01-12,528.65,Brand,All,Spain
33,Loyalty Brand Drive 2021,13,Angel Kent,2021-07-30,2021-10-20,2393.54,Brand,Churned,South Africa
34,Prospecting Acquisition Drive 2019,13,Anthony Rasmussen,2020-12-13,2021-01-28,2630.4,Acquisition,VIP,Nigeria
35,Clearance Acquisition Sale 2024,10,John Lopez,2020-11-23,2021-01-26,3121.51,Acquisition,All,France
36,Holiday Retention Sale 2020,5,Miguel Johnston,2020-02-04,2020-02-22,2635.94,Retention,All,Indonesia
37,Prospecting Retention Promo 2020,9,Richard White,2021-11-27,2022-01-07,995.19,Retention,Returning,India
38,Retarget Brand Push 2020,14,Angela Dillon,2019-05-15,2019-07-18,19143.45,Brand,Returning,South Africa
39,Loyalty Acquisition Sale 2023,4,Mark Harris,2022-05-23,2022-06-13,7183.27,Acquisition,All,Saudi Arabia
40,Flash Awareness Push 2022,8,Donna Nelson,2022-03-07,2022-05-25,5569.88,Awareness,Returning,Australia
41,SUMMER BRAND DRIVE 2019,9,Rachel Wright,2021-12-05,2022-01-08,356.68,Brand,Returning,France
42,Winter Awareness Sale 2024,2,Richard White,2019-10-18,2019-11-23,4826.35,Awareness,Returning,United States
43,prospecting awareness drive 2022,1,Felicia Henry,2022-04-21,2022-06-26,1573.49,Awareness,At-Risk,Spain
44,Summer Awareness Drive 2021,2,Caitlin Edwards,2021-11-19,2022-02-14,12153.41,Awareness,Churned,Saudi Arabia
45,Prospecting Retention Campaign 2023,15,David Zuniga,2019-11-07,2019-11-15,40852.77,Retention,Churned,Canada
46,Holiday Conversion Promo 2019,14,Felicia Henry,2021-02-18,2021-03-08,1444.39,Conversion,VIP,United Kingdom
47,launch acquisition promo 2023,15,Mary Rodriguez,2023-05-20,2023-07-06,11853.46,Acquisition,All,Brazil
48,Loyalty Awareness Drive 2022,11,Nicholas Gordon,2019-11-03,2019-11-16,9136.25,Awareness,At-Risk,Mexico
49,Retarget Brand Push 2023,7,,2019-01-11,2019-02-27,13732.94,Brand,VIP,Italy
50,NewYear Brand Sale 2020,14,Levi Stewart,2019-06-16,2019-06-23,1378.45,Brand,Returning,United States
51,,8,Rachel Dickerson,2023-02-21,2023-04-04,13832.29,Retention,VIP,Philippines
52,Winter Retention Promo 2023,7,,2021-02-20,2021-03-04,15614.76,Retention,At-Risk,Italy
53,Flash Retention Promo 2022,15,Derek Lowe,2019-03-29,2019-04-14,4913.94,Retention,New,Global
54,BlackFriday Conversion Sale 2020,7,Chase Wolf,2024-04-08,2024-04-26,2248.06,Conversion,All,Brazil
55,Clearance Awareness Drive 2019,5,,2020-01-03,2020-01-22,2192.3,Awareness,At-Risk,Indonesia
56,BlackFriday Brand Drive 2022,14,Kimberly Jensen,2023-11-22,2023-12-04,3374.32,Brand,Churned,Indonesia
57,Launch Conversion Push 2022,1,Angel Kent,2021-10-07,2021-12-06,14991.68,Conversion,Churned,India
58,SPRING BRAND CAMPAIGN 2020,5,Dominic Bennett,2023-01-08,2023-03-28,3662.88,Brand,Churned,Indonesia
59,Flash Acquisition Drive 2022,7,Kevin Morris,2022-10-26,2022-11-03,2289.61,Acquisition,Churned,Brazil
60,Launch Retention Drive 2019,9,Rebecca Simmons,2021-07-22,2021-10-18,7986.39,Retention,Churned,Germany
61,  Retarget Brand Campaign 2020  ,8,Carolyn Schultz,2023-01-21,2023-04-16,1301.61,Brand,New,Egypt
62,Loyalty Conversion Campaign 2024,1,Richard White,2019-03-16,2019-05-08,11307.0,Conversion,At-Risk,Canada
63,Flash Retention Sale 2021,10,Sandra Kim,2021-03-31,2021-06-22,7385.37,Retention,Returning,France
64,Spring Awareness Campaign 2023,1,Donna Nelson,2021-11-01,2021-12-23,2967.07,Awareness,At-Risk,Global
65,Launch Brand Push 2022,9,Felicia Henry,2020-10-21,2020-10-29,1783.08,Brand,VIP,Canada
66,Loyalty Awareness Promo 2021,9,Mary Rodriguez,2024-02-04,2024-02-28,10160.59,Awareness,New,Netherlands
67,Launch Conversion Promo 2023,6,David Zuniga,2021-07-22,2021-09-25,10615.3,Conversion,At-Risk,Netherlands
68,Retarget Awareness Push 2024,5,Yolanda Wallace,2022-06-16,2022-07-30,62914.75,Awareness,At-Risk,Indonesia
69,Winter Awareness Drive 2022,3,Eric Smith MD,2020-09-12,2020-06-15,2295.57,Awareness,Churned,France
70,Loyalty Awareness Drive 2020,5,Jennifer Obrien,2023-09-26,2023-10-20,4097.57,Awareness,At-Risk,Mexico
71,Spring Acquisition Drive 2024,3,Kimberly Jensen,2019-07-09,2019-08-27,3094.47,Acquisition,Churned,Philippines
72,Summer Retention Promo 2021,2,Elizabeth Hill,2020-06-18,2020-08-10,7747.89,Retention,VIP,France
73,NewYear Brand Promo 2019,2,Rachel Dickerson,2020-02-24,2020-05-03,2211.72,Brand,New,United Arab Emirates
74,Spring Brand Sale 2020,7,Alexis Hale,2022-03-21,2022-06-09,802.48,Brand,Returning,France
75,Clearance Conversion Sale 2024,14,Chase Wolf,2020-02-15,2020-05-05,16930.5,Conversion,New,United Kingdom
76,Holiday Retention Promo 2021,2,,2022-05-09,2022-06-20,2851.82,Retention,New,Netherlands
77,Spring Acquisition Promo 2022,3,Alexis Hale,2024-04-24,2024-06-30,682.66,Acquisition,Returning,South Africa
78,Loyalty Brand Promo 2021,3,Donna Nelson,2020-06-06,2020-07-18,1565.67,Brand,New,United Kingdom
79,Launch Retention Drive 2020,2,,2019-02-12,2019-03-11,4995.97,Retention,All,Mexico
80,Holiday Retention Sale 2022,12,Debra Smith,2019-06-20,2019-08-19,1488.78,Retention,New,Spain
81,NewYear Brand Sale 2021,15,Kimberly Jensen,2024-06-14,2024-06-29,5932.04,Brand,New,Egypt
82,Winter Awareness Sale 2020,9,Willie Bowers,2023-09-27,2023-11-20,2486.61,Awareness,New,Indonesia
83,Winter Retention Sale 2019,3,Hannah Matthews,2022-01-03,2022-02-02,10287.1,Retention,At-Risk,Canada
84,prospecting awareness promo 2020,12,,2022-12-15,2023-02-16,868.02,Awareness,New,Philippines
85,Summer Acquisition Sale 2023,3,Kevin Morris,2021-05-15,2021-05-31,18628.42,Acquisition,At-Risk,Philippines
86,Summer Awareness Campaign 2024,6,Jon Thomas,2020-06-27,2020-09-25,15650.56,Awareness,New,South Africa
87,Launch Conversion Promo 2020,10,Sandra Kim,2022-02-23,2022-04-08,3489.26,Conversion,Returning,Global
88,Launch Brand Campaign 2021,3,,2021-01-11,2021-04-03,9592.41,Brand,Churned,Philippines
89,NewYear Retention Push 2024,4,Eric Dodson Jr.,2021-12-12,2022-01-20,1405.4,Retention,VIP,Nigeria
90,Flash Awareness Sale 2023,13,,2021-03-13,2021-05-24,33736.83,Awareness,Returning,Nigeria
91,Launch Conversion Sale 2022,4,Sandra Ayala,2023-02-14,2023-03-02,16773.9,Conversion,New,Mexico
92,,6,Jason Fletcher,2021-02-07,2021-04-26,857.71,Awareness,All,Indonesia
93,Retarget Acquisition Push 2019,7,Daniel Bridges,2022-05-15,2022-07-20,3493.63,Acquisition,VIP,India
94,Clearance Conversion Promo 2019,15,Rebecca Simmons,2019-08-14,2019-09-20,3813.45,Conversion,VIP,France
95,Summer Brand Campaign 2024,7,Scott Taylor,2019-06-11,2019-07-22,37961.35,Brand,Churned,Italy
96,Clearance Retention Push 2021,1,,2020-02-21,2020-05-08,1854.68,Retention,Returning,Mexico
97,Launch Conversion Drive 2024,15,Michael Lawrence,2022-08-08,2022-10-24,8350.49,Conversion,VIP,Australia
98,FLASH ACQUISITION PROMO 2024,6,Jennifer Obrien,2024-07-16,2024-08-09,1034.1,Acquisition,Churned,United Kingdom
99,Summer Conversion Campaign 2019,6,Rebecca Prince,2021-01-18,2021-03-22,8387.58,Conversion,VIP,United Kingdom
100,Clearance Conversion Drive 2022,7,Charles Torres,2023-03-09,2023-04-30,7761.7,Conversion,New,Egypt
101,Holiday Acquisition Drive 2022,7,,2022-02-04,2022-02-12,5048.43,Acquisition,Churned,United Kingdom
102,NewYear Conversion Sale 2024,9,Levi Stewart,2020-11-16,2021-01-25,8583.99,Conversion,All,Japan
103,Retarget Awareness Drive 2024,12,Yvette House,2024-07-18,2024-08-23,9915.78,Awareness,New,Canada
104,Launch Retention Campaign 2021,2,Yvette House,2024-08-31,2024-11-22,18741.95,Retention,All,United States
105,BlackFriday Conversion Campaign 2024,3,Eric Smith MD,2024-03-16,2024-05-11,6477.25,Conversion,New,Australia
106,Flash Awareness Drive 2024,3,Rachel Dickerson,2020-03-07,2020-04-12,16140.02,Awareness,VIP,Mexico
107,Retarget Awareness Push 2022,12,Jeffrey Herring,2021-12-20,2022-01-06,4784.82,Awareness,All,France
108,NewYear Retention Drive 2022,3,James Smith,2023-03-20,2023-04-03,7758.48,Retention,New,Australia
