customer_id,first_name,last_name,email,age,gender,country,city,segment,signup_date,preferred_device
1,Danielle,Johnson,danielle.johnson655@yahoo.com,41,Male,United Arab Emirates,East Donald,Returning,2019-08-13,Desktop
2,Joy,Gardner,joy.gardner760@hotmail.com,34,Female,US,Johnsonland,New,2020-04-24,Desktop
3,William,Johnson,william.johnson229@gmail.com,54,Male,United States,Robinsonshire,Churned,2020-09-01,Tablet
4,Misty,Blake,misty.blake105@gmail.com,45,Other,Italy,Petersonberg,New,2020-04-16,Tablet
5,Kathryn,Garcia,kathryn.garcia914@yahoo.com,30,Other,Canada,West Melanieview,Returning,2023-11-04,Desktop
6,Jessica,Herrera,jessica.herrera605@yahoo.com,30,Female,France,New Kellystad,New,2022-06-18,Desktop
7,Janet,Williams,janet.williams31@gmail.com,23,Male,Canada,Traciebury,Returning,2024-03-13,Desktop
8,Norman,Chavez,norman.chavez239@yahoo.com,39,Other,Australia,West Michael,At-Risk,2023-01-08,Tablet
9,Jacqueline,Sutton,jacqueline.sutton28@gmail.com,36,Other,Brazil,New Jessica,New,2019-12-25,Desktop
10,NOAH,Mayo,noah.mayo734@hotmail.com,18,Other,,Lake Mark,New,2023-08-11,Tablet
11,Brian,Underwood,brian.underwood559@yahoo.com,28,Female,Japan,Adamsborough,Returning,2024-06-23,Desktop
12,Ashley,Robbins,ashley.robbins460@gmail.com,32,Other,USA,Fostermouth,Returning,2019-11-10,Mobile
13,Donald,Mcgee,donald.mcgee829@hotmail.com,45,Male,Canada,Juliechester,Returning,2024-05-21,Desktop
14,Reginald,Robinson,reginald.robinson715@gmail.com,21,Female,India,Daviston,New,2024-03-01,Mobile
15,Eric,Moore,eric.moore285@hotmail.com,44,Male,United States,Carlsonfurt,New,2021-04-16,Desktop
16,Wendy,Rice,wendy.rice981@hotmail.com,38,Female,United States,Lake Jenniferside,Returning,2023-07-04,Desktop
17,Kayla,Peterson,kayla.peterson95@yahoo.com,18,Female,Italy,Mooretown,Returning,2024-09-20,Desktop
18,Nancy,Baker,nancy.baker368@hotmail.com,27,Female,Canada,New Rita,Returning,2024-03-22,Tablet
19,Kenneth,Fowler,kenneth.fowler271@hotmail.com,39,Male,United States,East Nathaniel,Churned,2019-12-20,Tablet
20,STEPHANIE,Nielsen,stephanie.nielsen471@gmail.com,31,Other,Spain,Tracyville,New,2024-07-28,Desktop
21,Natasha,Decker,natasha.decker997@yahoo.com,48,Female,,North John,New,2022-05-28,Desktop
22,Christian,Dennis,christian.dennis566@gmail.com,47,Female,GERMANY,East Donna,New,2024-09-05,Tablet
23,Frederick,Rose,frederick.rose634@hotmail.com,39,Female,Germany,Brandtside,New,2023-07-13,Tablet
24,Hannah,Marquez,hannah.marquez197@yahoo.com,47,Other,,Samuelhaven,Returning,2021-09-16,Desktop
25,John,Brown,john.brown47@gmail.com,45,Other,Nigeria,New Jeffrey,Returning,2019-06-05,Desktop
26,Crystal,Perez,crystal.perez792@gmail.com,52,Female,U.S.A.,Chadbury,VIP,2020-09-02,Desktop
27,Todd,Ryan,todd.ryan876@hotmail.com,40,Male,Spain,Sanchezfort,Returning,2023-11-05,Desktop
28,JAMES,Davis,james.davis390@yahoo.com,54,Female,india,Rodneymouth,Returning,2024-03-07,Mobile
29,Brian,Valdez,brian.valdez651@hotmail.com,37,Female,Canada,North Richardmouth,Returning,2023-10-21,Desktop
30,Daniel,Lee,daniel.lee380@hotmail.com,32,Female,south africa,Taylorburgh,New,2020-09-02,Desktop
31,John,Leblanc,john.leblanc687@yahoo.com,53,Female,United Kingdom,North Deniseside,New,2024-01-06,Tablet
32,Tanya,House,tanya.house960@gmail.com,29,Other,Canada,South Todd,New,2020-04-13,Tablet
33,Richard,Brown,richard.brown74@yahoo.com,46,Other,Spain,South Josephmouth,New,2020-09-16,Tablet
34,Heather,Cross,heather.cross176@hotmail.com,39,Other,,Mooreport,Returning,2020-04-21,Tablet
35,Brian,Fitzgerald,brian.fitzgerald251@gmail.com,27,Male,United Kingdom,Brianshire,Returning,2021-11-10,Mobile
36,Samantha,Schmidt,,32,Female,Italy,Port Jacobland,At-Risk,2023-01-19,Tablet
37,Joe,Wilson,joe.wilson705@hotmail.com,36,Other,France,New Brooke,New,2022-09-19,Desktop
38,Robert,Silva,robert.silva702@hotmail.com,33,Female,United States,Sarahborough,Returning,2023-01-07,Desktop
39,Leon,Baker,leon.baker235@gmail.com,34,Male,India,Stephenland,VIP,2019-01-21,Mobile
40,Christine,Hart,christine.hart411@gmail.com,40,Female,Germany,New Jasonview,Churned,2019-10-18,Desktop
41,Michael,Jones,michael.jones217@gmail.com,18,Other,canada,Justinmouth,New,2024-01-01,Tablet
42,Jade,Carr,jade.carr323@hotmail.com,35,Male,Brazil,Lake Lisaport,Returning,2024-08-03,Tablet
43,Dale,Humphrey,dale.humphrey512@yahoo.com,33,Female,US,North Juliaberg,Returning,2020-08-19,Tablet
44,Cassandra,Robbins,cassandra.robbins470@gmail.com,39,Male,Indonesia,Williamview,New,2024-06-06,Mobile
45,Meghan,Davis,meghan.davis143@yahoo.com,49,Male,United Kingdom,Bradleymouth,VIP,2023-08-17,Tablet
46,Dana,Green,dana.green575@hotmail.com,45,Other,Germany,Arnoldchester,Returning,2022-05-13,Mobile
47,Daniel,Landry,daniel.landry765@hotmail.com,43,Other,united states,New Barry,At-Risk,2021-03-19,Mobile
48,Angela,Jordan,angela.jordan920@gmail.com,62,Other,CANADA,Michaelton,New,2024-05-23,Mobile
49,Jason,Wright,jason.wright371@gmail.com,37,Male,Japan,Kimberlychester,New,2024-11-03,Desktop
50,Kara,Frost,kara.frost522@gmail.com,29,Female,India,Port Lisa,New,2024-04-15,Desktop
51,Angel,Doyle,angel.doyle774@yahoo.com,23,Male,Japan,Phambury,Returning,2020-08-07,Desktop
